month,state,permit,permit_recheck,handgun,long_gun,other,multiple,admin,prepawn_handgun,prepawn_long_gun,prepawn_other,redemption_handgun,redemption_long_gun,redemption_other,returned_handgun,returned_long_gun,returned_other,rentals_handgun,rentals_long_gun,private_sale_handgun,private_sale_long_gun,private_sale_other,return_to_seller_handgun,return_to_seller_long_gun,return_to_seller_other,totals
2019-06,Mississippi,1603,1,5883,3303,286,479,0,19,8,0,1389,817,3,0,0,0,0,0,10,7,0,0,1,0,13809
2019-06,Missouri,2400,0,14970,10263,1443,1105,0,8,1,2,1408,750,9,203,23,3,0,0,53,26,4,2,1,0,32674
2019-06,Montana,1042,1,2644,3130,216,199,12,4,8,0,421,548,2,30,12,0,0,0,1,4,0,1,1,0,8276
2019-06,Nebraska,3085,52,109,1089,16,1,0,0,1,0,5,25,0,24,2,0,0,0,0,2,0,0,0,0,4411
2019-06,Nevada,2056,0,4117,2066,306,264,0,0,0,0,301,121,0,2,1,0,0,0,9,5,0,0,0,0,9248
2019-06,New Hampshire,1175,0,4138,2310,169,1,155,0,3,0,0,4,0,49,5,6,0,0,0,3,0,0,0,0,8018
2019-06,New Jersey,0,0,4273,2652,178,0,0,0,0,0,0,0,0,4,0,0,0,0,64,34,2,0,1,0,7208
2019-06,New Mexico,873,0,5389,3203,530,255,0,4,6,0,395,340,1,49,0,0,0,0,5,5,1,0,0,0,11056
2019-06,New York,2954,2231,7400,9047,1092,191,0,0,2,2,38,44,7,20,53,0,1,5,301,208,21,10,8,1,23636
2019-06,North Carolina,20392,95,1411,7908,894,185,0,15,20,1,1891,1398,14,439,66,17,7,0,6,9,0,0,0,0,34768
2019-06,North Dakota,284,0,1286,1942,114,102,18,2,2,0,64,82,2,2,0,0,0,0,6,5,3,0,0,0,3914
2019-06,Ohio,10121,58,17949,9885,1659,874,0,10,6,2,1006,433,3,45,12,0,0,0,31,22,2,2,2,0,42122
2019-06,Oklahoma,3204,0,9630,5819,1026,1072,20,8,14,3,1655,1171,9,0,0,0,0,0,33,25,10,0,2,0,23701
2019-06,Oregon,4341,477,12046,8124,0,6,1,0,0,0,0,0,0,139,50,1,0,0,0,0,0,0,0,0,25185
2019-06,Pennsylvania,19159,0,36023,10325,27,0,260,0,0,0,0,0,0,533,91,5,0,0,0,0,0,0,0,0,66423
2019-06,Puerto Rico,0,0,2568,193,117,40,0,0,0,0,24,2,1,0,0,0,0,0,0,0,0,0,1,0,2946
2019-06,Rhode Island,0,0,787,499,76,129,0,0,0,0,5,0,0,41,52,0,0,0,11,8,0,0,1,0,1609
